                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.6124,                0.71106,                0.90048,                 4.6942,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.6078,                0.70793,                0.89976,                 4.6932,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                  1.599,                 0.7125,                0.89591,                  4.691,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.5449,                0.71298,                0.89832,                 4.6892,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.5546,                0.70817,                0.89639,                 4.6898,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.5684,                0.71226,                0.89952,                 4.6887,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.5862,                0.71514,                0.89856,                 4.6875,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.5442,                0.71635,                0.90024,                 4.6849,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.5549,                0.71851,                0.90144,                 4.6844,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.5656,                0.71562,                0.90024,                 4.6843,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.5105,                0.71611,                0.90192,                 4.6834,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.5111,                0.71731,                0.90168,                 4.6817,             1.4209e-05,             1.4209e-05,             1.4209e-05
